Date,Quarter & Year,Quarters,QuarterYear Sort,ShortYear,Week Number,Day Of Week,Year,Quarter,Month,Day,DayInWeek,FY,MonthOfYear,Month & Year,Month Name
3/31/2019 0:00,Q1 2019,Q1,20190100,19,13,Sunday,2019,Qtr 1,March,31,6,FY19,3,Mar-19,March
3/28/2019 0:00,Q1 2019,Q1,20190100,19,13,Thursday,2019,Qtr 1,March,31,3,FY19,3,Mar-19,March
3/26/2019 0:00,Q1 2019,Q1,20190100,19,13,Tuesday,2019,Qtr 1,March,31,1,FY19,3,Mar-19,March
3/27/2019 0:00,Q1 2019,Q1,20190100,19,13,Wednesday,2019,Qtr 1,March,31,2,FY19,3,Mar-19,March
1/3/2020 0:00,Q1 2020,Q1,20200100,20,1,Friday,2020,Qtr 1,January,5,4,FY20,1,Jan-20,January
1/4/2020 0:00,Q1 2020,Q1,20200100,20,1,Saturday,2020,Qtr 1,January,5,5,FY20,1,Jan-20,January
1/5/2020 0:00,Q1 2020,Q1,20200100,20,1,Sunday,2020,Qtr 1,January,5,6,FY20,1,Jan-20,January
1/2/2020 0:00,Q1 2020,Q1,20200100,20,1,Thursday,2020,Qtr 1,January,5,3,FY20,1,Jan-20,January
1/1/2020 0:00,Q1 2020,Q1,20200100,20,1,Wednesday,2020,Qtr 1,January,5,2,FY20,1,Jan-20,January
1/10/2020 0:00,Q1 2020,Q1,20200100,20,2,Friday,2020,Qtr 1,January,12,4,FY20,1,Jan-20,January
1/6/2020 0:00,Q1 2020,Q1,20200100,20,2,Monday,2020,Qtr 1,January,12,0,FY20,1,Jan-20,January
1/11/2020 0:00,Q1 2020,Q1,20200100,20,2,Saturday,2020,Qtr 1,January,12,5,FY20,1,Jan-20,January
1/12/2020 0:00,Q1 2020,Q1,20200100,20,2,Sunday,2020,Qtr 1,January,12,6,FY20,1,Jan-20,January
1/9/2020 0:00,Q1 2020,Q1,20200100,20,2,Thursday,2020,Qtr 1,January,12,3,FY20,1,Jan-20,January
1/7/2020 0:00,Q1 2020,Q1,20200100,20,2,Tuesday,2020,Qtr 1,January,12,1,FY20,1,Jan-20,January
1/8/2020 0:00,Q1 2020,Q1,20200100,20,2,Wednesday,2020,Qtr 1,January,12,2,FY20,1,Jan-20,January
1/17/2020 0:00,Q1 2020,Q1,20200100,20,3,Friday,2020,Qtr 1,January,19,4,FY20,1,Jan-20,January
1/13/2020 0:00,Q1 2020,Q1,20200100,20,3,Monday,2020,Qtr 1,January,19,0,FY20,1,Jan-20,January
1/18/2020 0:00,Q1 2020,Q1,20200100,20,3,Saturday,2020,Qtr 1,January,19,5,FY20,1,Jan-20,January
1/19/2020 0:00,Q1 2020,Q1,20200100,20,3,Sunday,2020,Qtr 1,January,19,6,FY20,1,Jan-20,January
1/16/2020 0:00,Q1 2020,Q1,20200100,20,3,Thursday,2020,Qtr 1,January,19,3,FY20,1,Jan-20,January
1/14/2020 0:00,Q1 2020,Q1,20200100,20,3,Tuesday,2020,Qtr 1,January,19,1,FY20,1,Jan-20,January
1/15/2020 0:00,Q1 2020,Q1,20200100,20,3,Wednesday,2020,Qtr 1,January,19,2,FY20,1,Jan-20,January
1/24/2020 0:00,Q1 2020,Q1,20200100,20,4,Friday,2020,Qtr 1,January,26,4,FY20,1,Jan-20,January
1/20/2020 0:00,Q1 2020,Q1,20200100,20,4,Monday,2020,Qtr 1,January,26,0,FY20,1,Jan-20,January
